PL Run 1 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
EM_ITER=4 | GAMMA=1.5
OmegaTransformer: 275,010 parameters

============================================================
EM Iteration 1/4
Iter 1: uniform weights (standard BCE)
  [EM2] Ep 036 | Ω:0.614 A:0.689 A@.55:0.638 Score:0.3028 | LR:0.000063 | ni:13/25
  [EM2] Ep 037 | Ω:0.614 A:0.687 A@.55:0.637 Score:0.3014 | LR:0.000063 | ni:14/25
  [EM2] Ep 038 | Ω:0.614 A:0.689 A@.55:0.637 Score:0.3031 | LR:0.000063 | ni:15/25
  [EM2] Ep 039 | Ω:0.613 A:0.690 A@.55:0.638 Score:0.3029 | LR:0.000063 | ni:16/25
  [EM2] Ep 040 | Ω:0.612 A:0.690 A@.55:0.637 Score:0.3019 | LR:0.000031 | ni:17/25
  [EM2] Ep 041 | Ω:0.613 A:0.689 A@.55:0.637 Score:0.3022 | LR:0.000031 | ni:18/25
  [EM2] Ep 042 | Ω:0.612 A:0.690 A@.55:0.638 Score:0.3020 | LR:0.000031 | ni:19/25
  [EM2] Ep 043 | Ω:0.613 A:0.689 A@.55:0.637 Score:0.3025 | LR:0.000031 | ni:20/25
  [EM2] Ep 044 | Ω:0.614 A:0.689 A@.55:0.636 Score:0.3024 | LR:0.000031 | ni:21/25
  [EM2] Ep 045 | Ω:0.615 A:0.687 A@.55:0.635 Score:0.3021 | LR:0.000031 | ni:22/25
  [EM2] Ep 046 | Ω:0.616 A:0.686 A@.55:0.634 Score:0.3015 | LR:0.000016 | ni:23/25
  [EM2] Ep 047 | Ω:0.615 A:0.687 A@.55:0.636 Score:0.3021 | LR:0.000016 | ni:24/25
  Early stopping at epoch 47
EM iter 2 best: Score=0.3051 Anti=0.6893 A@.55=0.6367

============================================================
EM Iteration 3/4
E-step: computing per-event weights from current model...
  Omega weight stats: mean=0.4566 min=0.0001 max=0.9788
  [EM3] Ep 001 | Ω:0.604 A:0.695 A@.55:0.653 Score:0.2990 | LR:0.000500 | ni:0/25
  [EM3] Ep 002 | Ω:0.598 A:0.703 A@.55:0.663 Score:0.3014 | LR:0.000500 | ni:0/25
  [EM3] Ep 003 | Ω:0.599 A:0.703 A@.55:0.662 Score:0.3021 | LR:0.000500 | ni:0/25
  [EM3] Ep 004 | Ω:0.596 A:0.703 A@.55:0.664 Score:0.2990 | LR:0.000500 | ni:0/25
  [EM3] Ep 005 | Ω:0.596 A:0.705 A@.55:0.665 Score:0.3010 | LR:0.000500 | ni:1/25
  [EM3] Ep 006 | Ω:0.599 A:0.703 A@.55:0.663 Score:0.3020 | LR:0.000500 | ni:2/25
  [EM3] Ep 007 | Ω:0.597 A:0.704 A@.55:0.665 Score:0.3016 | LR:0.000500 | ni:3/25
  [EM3] Ep 008 | Ω:0.597 A:0.703 A@.55:0.665 Score:0.3003 | LR:0.000500 | ni:4/25
