GRL Run 13 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=2.0 | GRL_N_BINS=5 (within-class) | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
Moment adversary: 6 targets (n_kaons + std of 5 features)
OmegaTransformerGRL: 283,791 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

Starting GRL training...

Epoch 072 | α=0.912 λ=2.0000 | cls=0.9580 adv_ce=1.5906/1.6094 adv_mse=0.9792 | O@A=0.90: 0.627 (t=0.17, A=0.900) | Argmax: O=0.802 A=0.753 Score=0.5547 | LR: 0.000016 | [CONSTRAINED] No-improve: 7/25
Epoch 073 | α=0.917 λ=2.0000 | cls=0.9617 adv_ce=1.6015/1.6094 adv_mse=1.0005 | O@A=0.90: 0.628 (t=0.31, A=0.900) | Argmax: O=0.803 A=0.747 Score=0.5497 | LR: 0.000016 | [CONSTRAINED] No-improve: 8/25
Epoch 074 | α=0.921 λ=2.0000 | cls=0.9495 adv_ce=1.5846/1.6094 adv_mse=1.0157 | O@A=0.90: 0.625 (t=0.20, A=0.900) | Argmax: O=0.867 A=0.650 Score=0.5166 | LR: 0.000016 | [CONSTRAINED] No-improve: 9/25
Epoch 075 | α=0.925 λ=2.0000 | cls=0.9454 adv_ce=1.5872/1.6094 adv_mse=0.9889 | O@A=0.90: 0.625 (t=0.21, A=0.900) | Argmax: O=0.846 A=0.693 Score=0.5389 | LR: 0.000016 | [CONSTRAINED] No-improve: 10/25
Epoch 076 | α=0.929 λ=2.0000 | cls=0.9478 adv_ce=1.5835/1.6094 adv_mse=0.9885 | O@A=0.90: 0.627 (t=0.23, A=0.900) | Argmax: O=0.829 A=0.715 Score=0.5441 | LR: 0.000008 | [CONSTRAINED] No-improve: 11/25
Epoch 077 | α=0.932 λ=2.0000 | cls=0.9508 adv_ce=1.6011/1.6094 adv_mse=0.9961 | O@A=0.90: 0.628 (t=0.23, A=0.900) | Argmax: O=0.839 A=0.701 Score=0.5396 | LR: 0.000008 | [CONSTRAINED] No-improve: 12/25
Epoch 078 | α=0.936 λ=2.0000 | cls=0.9517 adv_ce=1.6027/1.6094 adv_mse=0.9998 | O@A=0.90: 0.627 (t=0.24, A=0.900) | Argmax: O=0.835 A=0.707 Score=0.5417 | LR: 0.000008 | [CONSTRAINED] No-improve: 13/25
Epoch 079 | α=0.939 λ=2.0000 | cls=0.9509 adv_ce=1.5974/1.6094 adv_mse=0.9930 | O@A=0.90: 0.629 (t=0.23, A=0.900) | Argmax: O=0.826 A=0.722 Score=0.5472 | LR: 0.000008 | [CONSTRAINED] No-improve: 14/25
Epoch 080 | α=0.942 λ=2.0000 | cls=0.9503 adv_ce=1.5952/1.6094 adv_mse=0.9859 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.826 A=0.721 Score=0.5471 | LR: 0.000008 | [CONSTRAINED] No-improve: 15/25
Epoch 081 | α=0.945 λ=2.0000 | cls=0.9531 adv_ce=1.5893/1.6094 adv_mse=0.9842 | O@A=0.90: 0.630 (t=0.21, A=0.900) | Argmax: O=0.826 A=0.721 Score=0.5470 | LR: 0.000008 | [CONSTRAINED] No-improve: 0/25
Epoch 082 | α=0.948 λ=2.0000 | cls=0.9508 adv_ce=1.5779/1.6094 adv_mse=0.9831 | O@A=0.90: 0.628 (t=0.21, A=0.900) | Argmax: O=0.828 A=0.719 Score=0.5469 | LR: 0.000008 | [CONSTRAINED] No-improve: 1/25
Epoch 083 | α=0.951 λ=2.0000 | cls=0.9543 adv_ce=1.5681/1.6094 adv_mse=0.9838 | O@A=0.90: 0.627 (t=0.22, A=0.900) | Argmax: O=0.829 A=0.718 Score=0.5473 | LR: 0.000008 | [CONSTRAINED] No-improve: 2/25
Epoch 084 | α=0.953 λ=2.0000 | cls=0.9585 adv_ce=1.5683/1.6094 adv_mse=0.9862 | O@A=0.90: 0.626 (t=0.23, A=0.900) | Argmax: O=0.832 A=0.715 Score=0.5465 | LR: 0.000008 | [CONSTRAINED] No-improve: 3/25
Epoch 085 | α=0.956 λ=2.0000 | cls=0.9628 adv_ce=1.5835/1.6094 adv_mse=0.9802 | O@A=0.90: 0.624 (t=0.22, A=0.900) | Argmax: O=0.833 A=0.711 Score=0.5447 | LR: 0.000008 | [CONSTRAINED] No-improve: 4/25
Epoch 086 | α=0.958 λ=2.0000 | cls=0.9663 adv_ce=1.5937/1.6094 adv_mse=1.0076 | O@A=0.90: 0.620 (t=0.26, A=0.900) | Argmax: O=0.810 A=0.741 Score=0.5515 | LR: 0.000004 | [CONSTRAINED] No-improve: 5/25
Epoch 087 | α=0.960 λ=2.0000 | cls=0.9596 adv_ce=1.6182/1.6094 adv_mse=1.0271 | O@A=0.90: 0.624 (t=0.22, A=0.900) | Argmax: O=0.808 A=0.745 Score=0.5528 | LR: 0.000004 | [CONSTRAINED] No-improve: 6/25
Epoch 088 | α=0.962 λ=2.0000 | cls=0.9583 adv_ce=1.6135/1.6094 adv_mse=1.0384 | O@A=0.90: 0.625 (t=0.19, A=0.900) | Argmax: O=0.821 A=0.729 Score=0.5499 | LR: 0.000004 | [CONSTRAINED] No-improve: 7/25
Epoch 089 | α=0.964 λ=2.0000 | cls=0.9535 adv_ce=1.6067/1.6094 adv_mse=1.0415 | O@A=0.90: 0.626 (t=0.20, A=0.900) | Argmax: O=0.836 A=0.708 Score=0.5438 | LR: 0.000004 | [CONSTRAINED] No-improve: 8/25
Epoch 090 | α=0.966 λ=2.0000 | cls=0.9515 adv_ce=1.6010/1.6094 adv_mse=1.0350 | O@A=0.90: 0.629 (t=0.23, A=0.900) | Argmax: O=0.841 A=0.701 Score=0.5417 | LR: 0.000004 | [CONSTRAINED] No-improve: 9/25
