GRL Run 2 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
ADV_LAMBDA=0.1 | GRL_ALPHA_MAX=1.0 | warmup=30 epochs
OmegaTransformerGRL: 279,427 parameters
Starting GRL training...

Epoch 083 | α=1.000 | cls=1.2274 adv=0.0739 | Omega Rec: 0.678 | Anti Rec: 0.629 | A@0.55: 0.534 | Score: 0.3071 | LR: 0.000008 | No-improve: 7/25
Epoch 084 | α=1.000 | cls=1.2271 adv=0.0738 | Omega Rec: 0.678 | Anti Rec: 0.629 | A@0.55: 0.534 | Score: 0.3073 | LR: 0.000008 | No-improve: 8/25
Epoch 085 | α=1.000 | cls=1.2279 adv=0.0738 | Omega Rec: 0.678 | Anti Rec: 0.628 | A@0.55: 0.535 | Score: 0.3062 | LR: 0.000008 | No-improve: 9/25
Epoch 086 | α=1.000 | cls=1.2282 adv=0.0739 | Omega Rec: 0.679 | Anti Rec: 0.628 | A@0.55: 0.533 | Score: 0.3069 | LR: 0.000008 | No-improve: 10/25
Epoch 087 | α=1.000 | cls=1.2267 adv=0.0740 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3061 | LR: 0.000004 | No-improve: 11/25
Epoch 088 | α=1.000 | cls=1.2275 adv=0.0739 | Omega Rec: 0.678 | Anti Rec: 0.629 | A@0.55: 0.534 | Score: 0.3063 | LR: 0.000004 | No-improve: 12/25
Epoch 089 | α=1.000 | cls=1.2269 adv=0.0739 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3064 | LR: 0.000004 | No-improve: 13/25
Epoch 090 | α=1.000 | cls=1.2272 adv=0.0739 | Omega Rec: 0.679 | Anti Rec: 0.626 | A@0.55: 0.533 | Score: 0.3055 | LR: 0.000004 | No-improve: 14/25
Epoch 091 | α=1.000 | cls=1.2269 adv=0.0738 | Omega Rec: 0.680 | Anti Rec: 0.626 | A@0.55: 0.532 | Score: 0.3060 | LR: 0.000004 | No-improve: 15/25
Epoch 092 | α=1.000 | cls=1.2265 adv=0.0738 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3070 | LR: 0.000004 | No-improve: 16/25
Epoch 093 | α=1.000 | cls=1.2272 adv=0.0739 | Omega Rec: 0.679 | Anti Rec: 0.628 | A@0.55: 0.533 | Score: 0.3065 | LR: 0.000002 | No-improve: 17/25
Epoch 094 | α=1.000 | cls=1.2270 adv=0.0739 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.533 | Score: 0.3062 | LR: 0.000002 | No-improve: 18/25
Epoch 095 | α=1.000 | cls=nan adv=0.0739 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.533 | Score: 0.3058 | LR: 0.000002 | No-improve: 19/25
Epoch 096 | α=1.000 | cls=1.2281 adv=0.0739 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3062 | LR: 0.000002 | No-improve: 20/25
Epoch 097 | α=1.000 | cls=1.2279 adv=0.0738 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3064 | LR: 0.000002 | No-improve: 21/25
Epoch 098 | α=1.000 | cls=1.2276 adv=0.0739 | Omega Rec: 0.680 | Anti Rec: 0.626 | A@0.55: 0.532 | Score: 0.3060 | LR: 0.000002 | No-improve: 22/25
Epoch 099 | α=1.000 | cls=1.2259 adv=0.0739 | Omega Rec: 0.680 | Anti Rec: 0.626 | A@0.55: 0.532 | Score: 0.3056 | LR: 0.000001 | No-improve: 23/25
Epoch 100 | α=1.000 | cls=1.2257 adv=0.0739 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.533 | Score: 0.3061 | LR: 0.000001 | No-improve: 24/25

Early stopping: no improvement for 25 epochs.

Best Score: 0.3078 | Anti (argmax): 0.6270 | A@0.55: 0.5312  →  saved to models/omega_grl.pth
Log saved to logs/grl_run2.log
